prevword,nextword,prevtag,nexttag,class
весь,!,APRO,!,2
подводный,завораживать,A,V,3
многообразный,.,A,.,1
не,но,PART,CONJ,4
в,.,S,.,2
на,посмотреть,PR,V,1
это,царство,SPRO,S,4
подводный,и,A,CONJ,3
весь,свой,APRO,APRO,2
заключать,на,V,PR,5
и,посмотреть,CONJ,V,1
маркс,―,S,―,2
сужать,детский,V,A,3
за,.,PR,.,4
весь,узнавать,APRO,V,2
весь,университет,APRO,S,2
убеждать,в,V,S,2
когда,еще,ADVPRO,ADV,1
личностный,он,A,SPRO,3
познавать,в,V,S,1
на,.,PR,.,2
и,.,CONJ,.,4
окружающий,.,A,.,1
на,новый,PR,A,1
подводный,что,A,SPRO,3
в,традиционный,S,A,1
западный,сталкиваться,A,V,2
посмотреть,вчерашний,V,A,1
русский,в,S,S,3
весь,а,APRO,PART,2
и,собственный,CONJ,A,1
возлюбить,что,V,SPRO,1
в,вступать,S,V,1
внутренний,лишаться,A,V,3
что,не,SPRO,PART,2
похожий,в,A,S,2
возлюбить,каждый,V,APRO,2
господь,что,S,SPRO,2
спасать,.,V,.,2
лежать,грех,V,S,3
что,вокруг,SPRO,ADV,1
новый,а,A,PART,2
новый,с,A,S,2
материальный,.,A,.,1
наш,который,APRO,APRO,2
бог,что,S,SPRO,1
чтобы,быть,CONJ,V,2
весь,верующий,APRO,S,2
пока,стоять,ADV,V,1
как,головоломка,ADVPRO,S,1
―,ваш,―,APRO,6
животный,иметься,A,V,3
в,мистический,S,A,3
древний,на,A,PR,2
умирающий,―,S,―,2
один,и,APRO,CONJ,2
в,чисто,S,ADV,3
животный,запас,A,S,3
увидеть,создавать,V,V,1
здесь,наверху,ADVPRO,ADV,1
объективный,преобразовывать,A,V,3
сложный,взрослый,A,S,3
и,мы,CONJ,SPRO,1
кактусовый,не,A,PART,3
растительный,район,A,S,3
на,утверждать,PR,V,2
в,иной,S,APRO,3
творить,.,V,.,1
огромный,не,A,PART,1
наш,―,APRO,―,1
остальной,―,APRO,―,1
на,моллюск,PR,S,1
только,видимый,PART,A,1
часть,горний,S,A,3
и,дольный,CONJ,A,3
греческий,не,A,PART,2
византийский,а,A,PART,2
а,идеальный,PART,A,1
славянский,и,A,CONJ,2
новый,микрорнк,A,S,3
богатый,морской,A,A,3
другой,поскольку,APRO,CONJ,1
новый,,A,",",?
на,уже,PR,ADV,1
новый,,A,",",?
целый,чужбина,A,S,2
новый,:,A,:,?
новый,микрорнк,A,S,3
богатый,морской,A,A,3
другой,поскольку,APRO,CONJ,1
новый,,A,",",?
на,уже,PR,ADV,1
новый,,A,",",?
целый,чужбина,A,S,2
новый,:,A,:,?
―,казачий,―,A,3
научный,зато,A,CONJ,3
за,.,PR,.,1
видеть,и,V,CONJ,1
наш,создавать,APRO,V,2
что,полностью,SPRO,ADV,1
фергюсон,ничего,S,ADV,2
весь,неизбежно,APRO,ADV,2
чувствовать,иначе,V,CONJ,1
теннисный,против,A,PR,3
―,крайне,―,ADV,3
удивлять,и,V,CONJ,2
весь,серия,APRO,S,?
новый,предлагать,A,V,?
сделать,безопасный,V,A,2
весь,то,APRO,PART,2
весь,для,APRO,PR,1
гармоничный,.,A,.,1
легкоатлетический,.,A,.,3
хранить,и,V,PART,4
она,почувствовать,SPRO,V,3
стоять,фэнтези,V,S,3
разработчик,жить,S,V,3
условность,близкие,S,S,3
убеждать,очень,V,ADV,2
видеть,такой,V,APRO,1
относительный,и,A,CONJ,4
как,и,ADVPRO,CONJ,1
весь,кажется,APRO,ADV,2
за,между,PR,PR,4
спасать,кажется,V,ADV,1
весь,и,APRO,CONJ,2
цивилизованный,становиться,A,V,2
весь,тот,APRO,APRO,2
студенческий,.,A,.,3
худой,,A,",",4
свой,осуждать,APRO,V,3
ссср,становиться,S,V,2
